#-------------------------------------------
# Food Diary Report - Detailed Report,"понедельник, апреля 13, 2020","воскресенье, апреля 19, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,2504,"146,95","213,03","84,33"
Завтрак,735,"53,45","33,79","29,39"
Обед,509,"34,06","34,68","16,45"
Ужин,615,"34,06","60,9","19,39"
Перекус/Другое,645,"25,38","83,66","19,1"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"понедельник, апреля 13, 2020",2495,"168,6","0,255","172,68","9,23","25,71","73,48",136,0,930
 Завтрак,1359,"106,68",,"55,43",,"0,34","44,06",,,
"  ЭГО Молоко Отборное 3,2%",166,"8,86",,"13,02",,,"8,31",,,
   277 г
  Макфа Крупа Гречневая Ядрица,208,"2,34",,"38,19",,,"8,71",,,
   67 г
  Благо Подсолнечное Масло Нерафинированное ,99,"10,98",,0,,,0,,,
   11 г
  ВкусВилл Колбаса Украинская Жареная,886,"84,5",,"4,22",,"0,34","27,04",,,
   169 г
 Обед,,,,,,,,,,
 Ужин,491,"31,87","0,071","46,29","5,3","8,67","4,99",132,0,611
  Морковь,78,"0,46","0,071","18,3","5,3","8,67","1,78",132,0,611
   191 г
  Пятерочка Яблоко Красное ,118,"1,01",,"24,7",,,"1,01",,,
   252 г
  Mr. Ricco Майонез на Перепелином Яйце 67%,122,"13,4",,"0,4",,,"0,08",,,
   20 г
  Ростагроэкспорт Сметана 20%,173,17,,"2,89",,,"2,12",,,
   85 г
 Перекус/Другое,645,"30,05","0,184","70,96","3,93","16,7","24,43",4,0,319
  Пятерочка Яблоко Красное ,72,"0,62",,"15,09",,,"0,62",,,
   154 г
  Молочный Стиль Простокваша,364,"23,08",,"24,23",,,15,,,
   577 г
  Вкуснотеево Сыр Сливочный,79,6,,0,,,"5,76",,,
   24 г
  Магнит Банан,97,"0,11","0,11","23,76","2,83","13,08","1,64",,,
   109 г
  Огурец (с Кожурой),33,"0,24","0,074","7,88","1,1","3,62","1,41",4,0,319
   217 г

"вторник, апреля 14, 2020",2542,"163,39","19,145","193,56","16,11","64,87","77,14",801,821,1128
 Завтрак,418,"30,86","6,062","7,42",0,"1,32","25,93",236,821,
"  ЭГО Молоко Отборное 3,2%",71,"3,78",,"5,55",,,"3,54",,,
   118 г
  Яйцо Куриное,274,"19,04","6,062","1,63",0,"1,32","22,34",236,821,
   175 г
  Mr. Ricco Майонез на Перепелином Яйце 67%,73,"8,04",,"0,24",,,"0,05",,,
   12 г
 Обед,734,70,,"3,5",,"0,28","22,4",,,
  ВкусВилл Колбаса Украинская Жареная,734,70,,"3,5",,"0,28","22,4",,,
   140 г
 Ужин,492,"26,34","0,113","57,68","8,3","6,99","9,4",565,0,1128
  Капуста Белокочанная,31,"0,29","0,027","6,67","2,8","1,83","2,02",49,0,
   117 г
  Огурец (без Кожуры),29,"0,39","0,031","5,23","1,7","3,34","1,43",5,0,329
   242 г
  Ростагроэкспорт Сметана 20%,102,10,,"1,7",,,"1,25",,,
   50 г
  Mr. Ricco Майонез на Перепелином Яйце 67%,128,"14,07",,"0,42",,,"0,08",,,
   21 г
  Картофель Отварной,182,"0,21","0,055","42,42","3,8","1,82","3,94",511,0,799
   212 г
  Uni Dan  Хрен Сливочный,20,"1,38",,"1,24",,,"0,68",,,
   27 г
 Перекус/Другое,898,"36,19","12,97","124,96","7,81","56,28","19,41",0,,
  Коммунарка Шоколад Трюфельный Элит,346,"23,5","12,75","30,06",,,"4,19",,,
   62 1/2 г
  Магнит Банан,86,"0,1","0,1","21,15","2,52","11,64","1,46",,,
   97 г
  Махеевъ Джем Черничный,122,0,0,"30,6","2,25","30,6",0,0,,
   45 г
  Магнит Банан,104,"0,12","0,12","25,51","3,04","14,04","1,76",,,
   117 г
  Пятерочка Яблоко Красное ,85,"0,72",,"17,64",,,"0,72",,,
   180 г
  Вкуснотеево Сыр Сливочный,155,"11,75",,0,,,"11,28",,,
   47 г

"среда, апреля 15, 2020",2049,"125,59","1,034","141,28","13,51","47,16","92,29",139,0,152
 Завтрак,581,"48,72",,"12,74",,,"20,59",,,
"  ЭГО Молоко Отборное 3,2%",163,"8,67",,"12,74",,,"8,13",,,
   271 г
  Мясницкий Ряд Краковская Колбаса,418,"40,05",,0,,,"12,46",,,
   89 г
 Обед,276,5,0,"37,7",2,"27,2",20,0,,
  Савушкин Продукт Йогурт Греческий Teos 2%,167,5,,"10,5",,,20,,,
   250 г
  Махеевъ Джем Черничный,109,0,0,"27,2",2,"27,2",0,0,,
   40 г
 Ужин,741,"60,46","0,924","34,39","8,65","6,76","20,57",139,0,152
  Капуста Белокочанная,86,"0,8","0,073","18,3","7,6","5,02","5,55",134,0,
   321 г
  Мираторг Фарш "Домашний",257,"23,49",,0,,,"11,31",,,
   87 г
  Магнит Морковь Свежая,5,"0,02",,"1,1","0,45",,"0,21",,,
   16 г
  Пятерочка Лук Репчатый,36,0,,"9,26",,,"1,25",,,
   89 г
