#-------------------------------------------
# Food Diary Report - Detailed Report,"понедельник, мая 11, 2020","воскресенье, мая 17, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,1799,"90,11","110,15","134,79"
Завтрак,505,"30,44","19,72","36,37"
Обед,524,"25,3","34,46","37,4"
Ужин,477,"17,66","42,8","39,88"
Перекус/Другое,293,"16,71","13,16","21,15"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"понедельник, мая 11, 2020",1795,"90,49","2,052","139,37","5,65","31,12","100,42",87,272,890
 Завтрак,378,"20,06",,"5,73","0,45","2,9","39,81",,,
  Магнит Авокадо,181,"16,61",,"2,03",,,"2,26",,,
   113 г
  VPLab Nutrition  Platinum Whey,197,"3,45",,"3,7","0,45","2,9","37,55",,,
   50 г
 Обед,465,"19,97",,"38,15",0,0,"37,73",,,
  Елизавета Хлебцы Вафельные,45,"0,42",,"9,04",,,"1,35",,,
   13 г
  Морской Котик Паштет из Печени и Икры Тресковых Рыб,33,"2,8",,0,,0,"1,96",,,
   14 г
  ВкусВилл Паштет с Мясом Свинины,35,"2,6",,"0,66",,,"2,31",,,
   17 г
  Савушкин Продукт Teos Йогурт Греческий 2%,167,5,,"10,5",,,20,,,
   250 г
  Молочное Царство Творог Обезжиренный,54,"1,15",,"2,11",,,"11,52",,,
   64 г
  Ашан Груша Вильямс,62,0,,"15,84",,,"0,59",,,
   148 г
  Roi Thai Кокосовое Масло,69,8,,0,0,0,0,,,
   8 г
 Ужин,470,"16,12","0,008","76,84","3,3","24,05","5,71",4,0,523
  Курага,108,"0,23","0,008","28,19","3,3","24,05","1,53",4,0,523
   45 г
  Просто Чернослив,130,"0,16",,"31,1",,,"1,46",,,
   52 г
  Ашан Груша Вильямс,61,0,,"15,62",,,"0,58",,,
   146 г
  Магнит Авокадо,171,"15,73",,"1,93",,,"2,14",,,
   107 г
 Перекус/Другое,482,"34,34","2,044","18,65","1,9","4,17","17,17",83,272,367
  Магнит Авокадо,184,"16,9",,"2,07",,,"2,3",,,
   115 г
  Яйцо Куриное,91,"6,31","2,009","0,54",0,"0,44","7,4",78,272,
   58 г
"  Бондюэль Зелёный Горошек Нежный 0,7%",74,"0,7",,"7,4",,,"5,5",,,
   100 г
  Огурец (без Кожуры),32,"0,43","0,035","5,83","1,9","3,73","1,59",5,0,367
   270 г
  Пятерочка Лук Репчатый,11,0,,"2,81",,,"0,38",,,
   27 г
  Filippo Berio Масло Оливковое Нерафинированное (Первого Отжима),90,10,,0,,,0,,,
   10 г

"вторник, мая 12, 2020",1800,"79,84","8,928","116,47","1,35","5,43","156,9",328,1126,319
 Завтрак,525,"29,69","6,36","22,34",0,"1,27","44,9",227,788,
"  БМК Молоко 3,2%",91,"4,83",,"7,1",,,"4,53",,,
   151 г
  Яйцо Куриное,263,"18,27","5,82","1,57",0,"1,27","21,44",227,788,
   168 г
  Ашан Помидор,34,"0,34",,"7,14",,,"1,02",,,
   170 г
  Молочное Царство Творог Обезжиренный,82,"1,75",,"3,2",,,"17,46",,,
   97 г
  Магнит Лук Репчатый ,15,0,,"3,33",,,"0,45",,,
   32 г
  Олейна Подсолнечное Масло,40,"4,5","0,54",0,,0,0,,,
   4 1/2 г
 Обед,551,"18,63",,"50,2",0,0,"41,14",,,
"  Бондюэль Зелёный Горошек Нежный 0,7%",128,"1,21",,"12,8",,,"9,52",,,
   173 г
  Ашан Груша Вильямс,76,0,,"19,26",,,"0,72",,,
   180 г
  Ашан Помидор,27,"0,27",,"5,75",,,"0,82",,,
   137 г
  ВкусВилл Творог из Топлёного Молока 5%,76,"3,15",,"1,89",,,"10,08",,,
   63 г
  Савушкин Продукт Teos Йогурт Греческий 2%,167,5,,"10,5",,,20,,,
   250 г
  Roi Thai Кокосовое Масло,77,9,,0,0,0,0,,,
   9 г
 Ужин,385,"11,37","2,528","32,52","0,75","2,19","45,68",99,338,146
  Огурец (с Кожурой),15,"0,11","0,034","3,59","0,5","1,65","0,64",2,0,146
   99 г
"  Valio Творог Мягкий 0,1%",11,"0,02",,"0,99",,0,"1,94",,,
   19 г
  Яйцо Куриное,113,"7,83","2,494","0,67",0,"0,54","9,19",97,338,
   72 г
  Молочное Царство Творог 0%,153,"3,24",,"5,94",,,"32,4",,,
   180 г
  Каждый День Курага ,30,"0,06",,"6,63",,,"0,65",,,
   13 г
  ВкусВилл Мука Рисовая Цельнозерновая,35,"0,08",,"8,12","0,25",,"0,55",,,
   10 г
  Просто Чернослив,28,"0,03",,"6,58",,,"0,31",,,
   11 г
 Перекус/Другое,339,"20,15","0,04","11,41","0,6","1,97","25,18",2,0,173
  Магнит Авокадо,194,"17,79",,"2,18",,,"2,42",,,
   121 г
  ВкусВилл Тунец Салатный Натуральный ,88,"0,92",,0,,0,"20,35",,,
   92 1/2 г
  Огурец (с Кожурой),18,"0,13","0,04","4,28","0,6","1,97","0,77",2,0,173
   118 г
  Магнит Лук Репчатый ,14,0,,"3,02",,,"0,41",,,
   29 г
"  БМК Молоко 3,2%",25,"1,31",,"1,93",,,"1,23",,,
   41 г

"среда, мая 13, 2020",1799,"93,12","8,137",101,"0,85","2,79","138,95",297,1027,112
 Завтрак,465,"25,48","4,558","23,07",0,"0,88","39,14",156,544,
  Олейна Масло Растительное ,40,"4,5","0,54",0,,0,0,,,
   4 1/2 г
  Яйцо Куриное,182,"12,62","4,018","1,08",0,"0,88","14,81",156,544,
   116 г
  Ашан Помидор,40,"0,4",,"8,32",,,"1,19",,,
   198 г
  Пятерочка Лук Репчатый,16,0,,"4,06",,,"0,55",,,
   39 г
  Молочное Царство Творог Обезжиренный,76,"1,6",,"2,94",,,"16,02",,,
   89 г
"  БМК Молоко 3,2%",85,"4,54",,"6,67",,,"4,26",,,
   142 г
  ВкусВилл Сыр Фасованный Пармезан,26,"1,82",,0,,0,"2,31",,,
   7 г
 Обед,486,"32,17","0,011","12,36","0,6","1,13","28,94",2,0,112
  Огурец (без Кожуры),10,"0,13","0,011","1,77","0,6","1,13","0,48",2,0,112
   82 г
"  Бондюэль Зелёный Горошек Нежный 0,7%",64,"0,6",,"6,36",,,"4,73",,,
   86 г
  Пятерочка Лук Репчатый,5,0,,"1,35",,,"0,18",,,
   13 г
  Магнит Авокадо,256,"23,52",,"2,88",,,"3,2",,,
   160 г
  ВкусВилл Тунец Салатный Натуральный,88,"0,92",,0,,0,"20,35",,,
   92 1/2 г
  Filippo Berio Масло Оливковое Нерафинированное (Первого Отжима),63,7,,0,,,0,,,
   7 г
 Ужин,487,"16,09","3,568","36,16","0,25","0,78","55,79",139,483,
  Молочное Царство Творог 0%,144,"3,06",,"5,61",,,"30,6",,,
   170 г
"  Ростагроэкспорт Творог Обезжиренный 1,7%",33,"0,56",,"1,09",,,"5,94",,,
   33 г
"  Родная Природа Творог Домашний 1,8%",22,"0,41",,"0,46",,,"4,14",,,
   23 г
  Сметанин Ряженка 4%,12,"0,68",,"0,78",,,"0,51",,,
   17 г
  Яйцо Куриное,161,"11,2","3,568","0,96",0,"0,78","13,15",139,483,
   103 г
  Просто Чернослив,80,"0,1",,"19,14",,,"0,9",,,
   32 г
  ВкусВилл Мука Рисовая Цельнозерновая,35,"0,08",,"8,12","0,25",,"0,55",,,
   10 г
 Перекус/Другое,361,"19,38",,"29,41",,,"15,08",,,
  Магнит Авокадо,158,"14,55",,"1,78",,,"1,98",,,
   99 г
  Ашан Помидор,101,"1,01",,"21,13",,,"3,02",,,
   503 г
  Савушкин Продукт Teos Йогурт Греческий 2%,74,"2,22",,"4,66",,,"8,88",,,
   111 г
  Сметанин Ряженка 4%,28,"1,6",,"1,84",,,"1,2",,,
   40 г

"четверг, мая 14, 2020",1798,"95,19","14,602","71,17","2,76","11,72","153,58",247,825,710
 Завтрак,451,"25,36","6,637","18,06",0,"1,33","36,31",237,825,
  Магнит Лук Репчатый ,16,0,,"3,43",,,"0,46",,,
   33 г
  Ашан Помидор,36,"0,36",,"7,52",,,"1,07",,,
   179 г
  Яйцо Куриное,276,"19,14","6,097","1,64",0,"1,33","22,46",237,825,
   176 г
  Елизавета Хлебцы Вафельные,21,"0,19",,"4,17",,,"0,62",,,
   6 г
"  Родная Природа Творог Домашний 1,8%",62,"1,17",,"1,3",,,"11,7",,,
   65 г
  Олейна Подсолнечное Масло,40,"4,5","0,54",0,,0,0,,,
   4 1/2 г
 Обед,434,"26,08","7,56","12,75","0,36","2,32","34,43",,,
  VPLab Nutrition  Platinum Whey,158,"2,76",,"2,96","0,36","2,32","30,04",,,
   40 г
  Магнит Авокадо,123,"11,32",,"1,39",,,"1,54",,,
   77 г
  O'Zera Шоколад Горький Ecuador 75%,153,12,"7,56","8,4",,,"2,85",,,
   30 г
 Ужин,477,"16,76","0,239","30,21","1,7","5,83","46,41",7,0,513
"  Бондюэль Зелёный Горошек Нежный 0,7%",137,"1,3",,"13,69",,,"10,18",,,
   185 г
  Пава Пава Фарш Нежный Индейка,264,"14,08",,0,0,0,"33,44",,,
   176 г
  Пятерочка Лук Репчатый,15,0,,"3,85",,,"0,52",,,
   37 г
  Олейна Подсолнечное Масло,9,1,"0,12",0,,0,0,,,
   1 г
  Огурец (с Кожурой),52,"0,38","0,119","12,67","1,7","5,83","2,27",7,0,513
   349 г
 Перекус/Другое,436,"26,99","0,166","10,15","0,7","2,24","36,43",3,0,197
  Пава Пава Фарш Нежный Индейка,264,"14,08",,0,0,0,"33,44",,,
   176 г
  Пятерочка Лук Репчатый,15,0,,"3,85",,,"0,52",,,
   37 г
  Олейна Подсолнечное Масло,9,1,"0,12",0,,0,0,,,
   1 г
  Огурец (с Кожурой),20,"0,15","0,046","4,86","0,7","2,24","0,87",3,0,197
   134 г
  Магнит Авокадо,128,"11,76",,"1,44",,,"1,6",,,
   80 г

"пятница, мая 15, 2020",1798,"81,81","6,358","108,25","1,98","9,82","155,07",250,844,534
 Завтрак,518,"30,85","3,914","22,95",0,"0,85","38,03",152,530,
  Ашан Помидор,37,"0,37",,"7,69",,,"1,1",,,
   183 г
  Пятерочка Лук Репчатый,18,0,,"4,47",,,"0,6",,,
   43 г
  Молочное Царство Творог Обезжиренный,80,"1,69",,"3,1",,,"16,92",,,
   94 г
  Яйцо Куриное,177,"12,29","3,914","1,06",0,"0,85","14,42",152,530,
   113 г
  Магнит Авокадо,142,"13,08",,"1,6",,,"1,78",,,
   89 г
"  БМК Молоко 3,2%",64,"3,42",,"5,03",,,"3,21",,,
   107 г
 Обед,619,"33,64","0,08","37,05","1,2","3,94","36,15",5,0,347
  Пава Пава Фарш Нежный Индейка,196,"10,48",,0,0,0,"24,89",,,
   131 г
  Пятерочка Лук Репчатый,21,0,,"5,41",,,"0,73",,,
   52 г
  Ашан Груша Вильямс,51,0,,"12,95",,,"0,48",,,
   121 г
  Магнит Авокадо,242,"22,2",,"2,72",,,"3,02",,,
   151 г
  Огурец (с Кожурой),35,"0,26","0,08","8,57","1,2","3,94","1,53",5,0,347
   236 г
"  Бондюэль Зелёный Горошек Нежный 0,7%",74,"0,7",,"7,4",,,"5,5",,,
   100 г
 Ужин,411,"10,59","2,321","39,59","0,18","2,91","40,73",90,314,
  ВкусВилл Мука Рисовая Цельнозерновая,25,"0,06",,"5,68","0,18",,"0,38",,,
   7 г
  Молочное Царство Творог Обезжиренный,30,"0,63",,"1,16",,,"6,3",,,
   35 г
  Избенка Творог Мягкий Обезжиренный ,13,"0,14",,"0,73",,,"2,24",,,
   28 г
  Савушкин Продукт Teos Йогурт Греческий 2%,15,"0,44",,"0,92",,,"1,76",,,
   22 г
  Яйцо Куриное,105,"7,29","2,321","0,63",0,"0,51","8,55",90,314,
   67 г
  Персидский Базар Виноград Сушеный,64,0,0,"16,33",,,0,,,
   23 г
"  Valio Творог Мягкий 0,1%",12,"0,02",,"1,04",,0,"2,04",,,
   20 г
"  Родная Природа Творог Домашний 1,8%",102,"1,93",,"2,14",,,"19,26",,,
   107 г
  ВкусВилл Конфитюр Апельсиновый,45,"0,08",,"10,96",,"2,4","0,2",,,
   40 г
 Перекус/Другое,250,"6,73","0,043","8,66","0,6","2,12","40,16",3,0,187
  ВкусВилл Тунец Натуральный,79,"0,68",,0,0,0,"18,16",,,
   76 г
  ФЭГ Огурцы Солёные,5,0,0,"0,51",,,"0,34",,,
   34 г
  Пятерочка Лук Репчатый,14,0,,"3,54",,,"0,48",,,
   34 г
  ВкусВилл Тунец Салатный Натуральный,88,"0,92",,0,,0,"20,35",,,
   92 1/2 г
  Огурец (с Кожурой),19,"0,14","0,043","4,61","0,6","2,12","0,83",3,0,187
   127 г
  Юг Руси Масло Подсолнечное Нерафинированное,45,"4,99",,0,,,0,,,
   5 г

"суббота, мая 16, 2020",1800,"81,14","9,068","143,48","5,87","20,6","124,83",356,1195,691
 Завтрак,563,"36,81","3,845","24,36",0,"0,84","26,01",150,520,
"  БМК Молоко 3,2%",95,"5,06",,"7,43",,,"4,74",,,
   158 г
  Яйцо Куриное,174,"12,07","3,845","1,04",0,"0,84","14,17",150,520,
   111 г
  Магнит Авокадо,208,"19,11",,"2,34",,,"2,6",,,
   130 г
"  Бондюэль Зелёный Горошек Нежный 0,7%",44,"0,41",,"4,37",,,"3,24",,,
   59 г
  Ашан Помидор,16,"0,16",,"3,36",,,"0,48",,,
   80 г
  Магнит Лук Репчатый ,26,0,,"5,82",,,"0,78",,,
   56 г
 Обед,572,"21,44","2,425","50,19","0,2","0,53","44,44",94,328,
  ВкусВилл Мука Рисовая Цельнозерновая,28,"0,06",,"6,5","0,2",,"0,44",,,
   8 г
"  Родная Природа Творог Домашний 1,8%",107,"2,02",,"2,24",,,"20,16",,,
   112 г
  Молочное Царство Творог Обезжиренный,31,"0,65",,"1,19",,,"6,48",,,
   36 г
  Избенка Творог Мягкий Обезжиренный ,14,"0,15",,"0,78",,,"2,4",,,
   30 г
  Савушкин Продукт Teos Йогурт Греческий 2%,15,"0,46",,"0,97",,,"1,84",,,
   23 г
"  Valio Творог Мягкий 0,1%",13,"0,02",,"1,09",,0,"2,14",,,
   21 г
  Яйцо Куриное,110,"7,61","2,425","0,65",0,"0,53","8,93",94,328,
   70 г
  Персидский Базар Виноград Сушеный,67,0,0,"17,04",,,0,,,
   24 г
  Голден Яблоко ,77,"0,33",,"18,49",,,"0,67",,,
   148 г
  Магнит Авокадо,110,"10,14",,"1,24",,,"1,38",,,
   69 г
 Ужин,481,"13,5","2,653","55,08","2,67","11,48","40,38",100,347,
  ВкусВилл Мука Рисовая Цельнозерновая,42,"0,1",,"9,74","0,3",,"0,66",,,
   12 г
  Молочное Царство Творог Обезжиренный,110,"2,32",,"4,26",,,"23,22",,,
   129 г
  Избенка Творог Мягкий Обезжиренный ,19,"0,2",,"1,04",,,"3,2",,,
   40 г
  Сметанин Ряженка 4%,8,"0,44",,"0,51",,,"0,33",,,
   11 г
  Яйцо Куриное,116,"8,05","2,563","0,69",0,"0,56","9,45",100,347,
   74 г
  Персидский Базар Виноград Сушеный,62,0,0,"15,62",,,0,,,
   22 г
"  БМК Молоко 3,2%",43,"2,3",,"3,38",,,"2,16",,,
   72 г
  Магнит Банан,81,"0,09","0,09","19,84","2,37","10,92","1,36",,,
   91 г
 Перекус/Другое,184,"9,39","0,145","13,85",3,"7,75",14,12,0,691
  Помидоры,30,"0,33","0,077","6,55",2,"4,39","1,47",8,0,396
   167 г
  ВкусВилл Сыр Фасованный Пармезан,124,"8,84",,0,,0,"11,22",,,
   34 г
  Огурец (с Кожурой),30,"0,22","0,068","7,3",1,"3,36","1,31",4,0,295
   201 г

"воскресенье, мая 17, 2020",1802,"109,21","6,628","91,31","8,64","25,92","113,79",252,708,906
 Завтрак,633,"44,83","4,647","21,54","0,4","2,3","30,36",158,544,125
"  БМК Молоко 3,2%",94,"4,99",,"7,33",,,"4,68",,,
   156 г
  Магнит Лук Репчатый ,13,0,,"2,81",,,"0,38",,,
   27 г
  Яйцо Куриное,182,"12,62","4,018","1,08",0,"0,88","14,81",156,544,
   116 г
  Магнит Авокадо,222,"20,43",,"2,5",,,"2,78",,,
   139 г
  Елизавета Хлебцы Вафельные Пшеничные с Отрубями,19,"0,15","0,06","3,5",,,"0,6",,,
   1 хлебец
  Огурец (с Кожурой),13,"0,09","0,029","3,09","0,4","1,42","0,55",2,0,125
   85 г
  Олейна Подсолнечное Масло,40,"4,5","0,54",0,,0,0,,,
   4 1/2 г
  ВкусВилл Творог 5%,50,"2,05",,"1,23",,,"6,56",,,
   41 г
 Обед,540,"25,19","1,302","40,54","2,54","11,54","38,95",47,164,
  Яйцо Куриное,55,"3,81","1,212","0,33",0,"0,26","4,47",47,164,
   35 г
"  Valio Творог Мягкий 0,1%",6,"0,01",,"0,52",,0,"1,02",,,
   10 г
  Персидский Базар Виноград Сушеный,34,0,0,"8,52",,,0,,,
   12 г
  Избенка Творог Мягкий Обезжиренный ,7,"0,08",,"0,39",,,"1,2",,,
   15 г
  ВкусВилл Мука Рисовая Цельнозерновая,14,"0,03",,"3,25","0,1",,"0,22",,,
   4 г
  Молочное Царство Творог Обезжиренный,15,"0,32",,"0,59",,,"3,24",,,
   18 г
"  Родная Природа Творог Домашний 1,8%",54,"1,01",,"1,12",,,"10,08",,,
   56 г
  Савушкин Продукт Teos Йогурт Греческий 2%,8,"0,24",,"0,5",,,"0,96",,,
   12 г
  Сметанин Ряженка 4%,74,"4,2",,"4,83",,,"3,15",,,
   105 г
  Roi Thai Кокосовое Масло,43,5,,0,0,0,0,,,
   5 г
  Магнит Банан,84,"0,09","0,09","20,49","2,44","11,28","1,41",,,
   94 г
  ВкусВилл Сыр Фасованный Пармезан,146,"10,4",,0,,0,"13,2",,,
   40 г
 Ужин,629,"39,19","0,679","29,23","5,7","12,08","44,48",47,0,781
  Магнит Лук Репчатый ,31,0,,"6,86",,,"0,92",,,
   66 г
  Олейна Подсолнечное Масло,36,4,"0,48",0,,0,0,,,
   4 г
  Петелинка Филе Бедра Охлаждённое ,466,"34,3",,0,,,"39,2",,,
   245 г
  Болгарский Перец,27,"0,32","0,062","6,33","2,1","4,41","1,04",2,0,
   105 г
  Цукини,20,"0,23","0,047","4,22","1,4","2,18","1,52",13,0,330
   126 г
  Морковь,16,"0,1","0,015","3,83","1,1","1,82","0,37",28,0,128
   40 г
  Огурец (с Кожурой),33,"0,24","0,075","7,99","1,1","3,67","1,43",4,0,323
   220 г
 Перекус/Другое,,,,,,,,,,

Всего,12592,"630,8","55,773","771,05","27,1","107,4","943,54",1817,5997,4162
